Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Collision Type,Circumstance_Category,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Person ID,Drivers License State,Vehicle ID,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Latitude,Longitude,Vehicle Model,hour,Crash_year,Crash_month,Crash_day,Crash_hour,Crash_day_name,Crash_date,Crash_week
249,MCP203900CY,250039218,Montgomery_County_Police,Injury Crash,2025-09-02 09:11:00,Maryland_State_Route,NEW HAMPSHIRE AVE,MILLGROVE RD,Angle Collision,Right-of-Way Violation,Clear,Dry,Daylight,Stop Sign,None Detected,CEE53B0F-C908-4E31-9310-EA96B87D735A,MD,6A6A1CF5-063F-4615-80F1-A42A74A4F6BA,Nine O Clock,Van - Passenger (&lt;9 Seats),MakingLeftTurn,Eastbound,45.0,No,No,2024,FORD,39.12740335,-76.99049028,Transit_Ford,9,2025,9,2,9,Tuesday,2025-09-02,36
271,DD558300B7,250039264,Rockville_Police_Department,Property Damage Crash,2025-09-02 13:40:00,County_Route,NEW HAMPSHIRE AVE,EISENHOWER MEMORIAL HWY,Rear-End (Same Direction),Driver Inattention,Clear,Dry,Daylight,No Control,None Detected,D2ECBC1C-0C09-4124-AAC2-0CCB515BE964,MD,04D8D8E2-F57D-47A8-B419-AABAEFBD2F3C,Twelve O Clock,PassengerCar,NegotiatingCurve,Not On Roadway,2.5,No,No,2006,HONDA,39.09971691,-77.15821847,Accord_Honda,13,2025,9,2,13,Tuesday,2025-09-02,36
326,DD558300B7,250039264,Rockville_Police_Department,Property Damage Crash,2025-09-02 13:40:00,County_Route,HEMPSTEAD AVE,VALLEY PARK DR,Rear-End (Same Direction),Backing Error,Clear,Wet,Daylight,Traffic Signal,None Detected,D106A6F8-618D-470B-B044-F37E33B95E6B,MD,00796E7C-16D9-479B-86D8-516134ECBFE7,Six O Clock,Van - Passenger (&lt;9 Seats),Backing,Not On Roadway,2.5,No,No,2014,CHEVROLET,39.09971691,-77.15821847,Express_Chevrolet,13,2025,9,2,13,Tuesday,2025-09-02,36
379,MCP203900CY,250039218,Montgomery_County_Police,Injury Crash,2025-09-02 09:11:00,Maryland_State_Route,NEW HAMPSHIRE AVE,MILLGROVE RD,Angle Collision,Right-of-Way Violation,Clear,Dry,Daylight,Stop Sign,None Detected,362A5FAC-6D24-4056-BDA7-53D07FB2538F,MD,70537747-3794-4DA3-BF01-57801B5D42DD,Twelve O Clock,PickupTruck,MovingConstantSpeed,Northbound,45.0,No,No,2015,TOYOTA,39.12740335,-76.99049028,Camry_Toyota,9,2025,9,2,9,Tuesday,2025-09-02,36
477,MCP203900CZ,250039251,Montgomery_County_Police,Injury Crash,2025-09-02 12:22:00,County_Route,DARNESTOWN RD,FREDERICK RD,Single Vehicle,Driver Inattention,Cloudy,Dry,Daylight,No Control,None Detected,312E0B81-0373-41F9-A191-6235095FD629,MD,1DF7484D-C5DC-42C5-8608-3A360F72A7F3,One O Clock,SportUtilityVehicle,MovingConstantSpeed,Eastbound,25.0,No,No,2020,LEXUS,39.10649345,-76.99310781,RX 350_Lexus,12,2025,9,2,12,Tuesday,2025-09-02,36
499,MCP9392001T,250039074,Montgomery_County_Police,Property Damage Crash,2025-09-01 01:00:00,Maryland_State_Route,DICKERSON RD,NORBECK RD,Single Vehicle,Driver Inattention,Clear,Dry,Dark - Lighted,No Control,None Detected,A3B615DB-9EED-4638-A96B-E1A68E01DED0,MD,53DB00EB-C139-41C5-A5AF-89AC0FD3DEA6,Twelve O Clock,SportUtilityVehicle,SlowingOrStopping,Eastbound,30.0,No,No,2021,CHEVROLET,39.21718333,-77.41438358,Tahoe_Chevrolet,1,2025,9,1,1,Monday,2025-09-01,36
576,MCP301000C2,250040138,Montgomery_County_Police,Injury Crash,2025-09-07 14:00:00,County_Route,JONES MILL RD,COQUELIN TERR W COQUELIN TERR,Single Vehicle,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,278A74BD-8484-4735-B6EC-97D028613A1E,MD,5D5E9D14-262B-40E0-A582-CC5438902FAC,Nine O Clock,Van - Passenger (&lt;9 Seats),MakingLeftTurn,Westbound,30.0,No,No,2025,VOLKSWAGEN,38.99735709,-77.06595076,Jetta_Volkswagen,14,2025,9,7,14,Sunday,2025-09-07,36
577,MCP3051008W,250040165,Montgomery_County_Police,Property Damage Crash,2025-09-07 17:24:00,County_Route,WISCONSIN AVE,ST PAUL ST,Other,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,A8A6C2CF-F27E-44F5-938B-BD77E919330C,MD,50097D9A-A1C3-4862-A67E-9F7C067ACD09,Twelve O Clock,PassengerCar,Accelerating,Westbound,30.0,No,No,2010,INFINITI,39.0268175,-77.146512,Q50_Infiniti,17,2025,9,7,17,Sunday,2025-09-07,36
578,MCP3290004D,250039116,Montgomery_County_Police,Property Damage Crash,2025-09-01 13:34:00,Local_Route,PENNYDOG LA,ENT TO FEDERAL PLAZA S.C.,Rear vs Side,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,03291E77-407B-4D40-98CA-9C448533E26E,MD,CC09650A-69B8-4820-89E0-88B7DEFAC048,Six O Clock,PickupTruck,Backing,Not On Roadway,25.0,No,No,2015,FORD,39.02896658,-77.0485844,F-150_Ford,13,2025,9,1,13,Monday,2025-09-01,36
579,MCP2816004R,250040215,Montgomery_County_Police,Property Damage Crash,2025-09-08 06:43:00,County_Route,BLUE MOUNTAIN CT,WHITTIER BLVD,Other,Passing / Turning,Clear,Dry,Daylight,No Control,None Detected,9367965A-D548-465A-A5C3-B62A1FD0D91D,MD,C4A52E57-1FB7-43D0-8E3A-8066A5DD0CC8,Twelve O Clock,SchoolBus,MakingUTurn,Eastbound,15.0,No,No,2020,MINI,39.11026333,-77.26245,Cooper_Mini,6,2025,9,8,6,Monday,2025-09-08,37
