Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Collision Type,Circumstance_Category,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Person ID,Drivers License State,Vehicle ID,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Latitude,Longitude,Vehicle Model,hour,Crash_year,Crash_month,Crash_day,Crash_hour,Crash_day_name,Crash_date,Crash_week
1786,EJ79040038,250042903,Gaithersburg_Police_Department,Property Damage Crash,2025-10-01 06:21:00,Municipality_Route,ORCHARD DR,HILLSTONE RD,Angle Collision,Weather Related,Clear,Dry,Dark - Lighted,No Control,None Detected,F7DE300E-9AE9-435A-8C44-98A1BE6969BE,MD,3EE8EFA2-716C-430A-AE4A-AF2932C37C39,Three O Clock,PassengerCar,MovingConstantSpeed,East,15.0,No,No,2011,JEEP,39.11951087,-77.24984208,Grand Cherokee_Jeep,6,2025,10,1,6,Wednesday,2025-10-01,40
1797,MCP29390087,250044172,Montgomery_County_Police,Property Damage Crash,2025-10-01 15:06:00,County_Route,SENECA CROSSING DR,SCOTTSBURY DR VIRGINIA PINE TERR,Sideswipe (Same Direction),Surface Condition,Clear,Dry,Daylight,Stop Sign,None Detected,BC0CB578-A21A-454D-9786-1594723ABA85,MD,7096431A-665A-4368-B6F5-871F7EA23CF8,Eleven O Clock,TransitBus,StoppedInTrafficLane,South,25.0,No,No,2013,HONDA,39.20363257,-77.2419676,Pilot_Honda,15,2025,10,1,15,Wednesday,2025-10-01,40
1833,MCP3374003Q,250044082,Montgomery_County_Police,Injury Crash,2025-10-01 08:08:00,Maryland_State_Route,LAYTONIA DR,KEY WEST AVE,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,No Control,None Detected,BB144C52-2A63-4DE2-9374-AC92F66A70C1,MD,6E90B501-FDF2-46B2-9E92-B316AC86F514,Six O Clock,PassengerCar,StoppedInTrafficLane,Eastbound,35.0,No,No,2023,TOYOTA,38.99555533,-77.16684333,RAV4_Toyota,8,2025,10,1,8,Wednesday,2025-10-01,40
1865,MCP285900JS,250044153,Montgomery_County_Police,Injury Crash,2025-10-01 14:00:00,County_Route,SHADY GROVE RD,TURKEY THICKET DR,Angle Collision,Right-of-Way Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,E50627A9-476D-4F5D-B2E9-4C19B0FAA8CB,MD,4451C0C0-2895-4AFE-BDC6-7096EC17F7F8,Twelve O Clock,SportUtilityVehicle,MakingLeftTurn,Westbound,25.0,No,No,2020,HONDA,39.17244142,-77.17851261,CR-V_Honda,14,2025,10,1,14,Wednesday,2025-10-01,40
1867,MCP3094006N,250044165,Montgomery_County_Police,Injury Crash,2025-10-01 14:43:00,Maryland_State_Route,FOREST GLEN RD,MUNCASTER RD REDLAND RD,Head-On,Right-of-Way Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,F8F6322D-6721-4535-9588-6EAD7F38675F,MD,050784BE-00C9-4F76-A32D-F8B7E4415A24,Two O Clock,SportUtilityVehicle,MakingLeftTurn,Northbound,35.0,No,No,2018,TOYOTA,39.14564909,-77.143969,Camry_Toyota,14,2025,10,1,14,Wednesday,2025-10-01,40
1897,MCP29390088,250044207,Montgomery_County_Police,Property Damage Crash,2025-10-01 17:51:00,Maryland_State_Route,RIDGE RD (SB/L),HAWKES RD,Other,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,9AAD9E7C-ABB3-4F29-815E-3A2F93D4844A,MD,16F81F0A-681A-4BB5-ACA2-64D5D37A89FE,Nine O Clock,PassengerCar,Accelerating,Eastbound,40.0,No,No,1999,JEEP,39.24682217,-77.23413483,Wrangler_Jeep,17,2025,10,1,17,Wednesday,2025-10-01,40
1901,MCP3094006N,250044165,Montgomery_County_Police,Injury Crash,2025-10-01 14:43:00,Maryland_State_Route,DENNIS AVE,MUNCASTER RD REDLAND RD,Head-On,Right-of-Way Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,F3967821-BA93-42FE-9EF6-BDAE647B995F,MD,18561274-F623-479A-803F-1AF4E1D1B8F3,Ten O Clock,StationWagon,MakingRightTurn,Southbound,35.0,No,No,2015,SUBARU,39.14564909,-77.143969,Outback_Subaru,14,2025,10,1,14,Wednesday,2025-10-01,40
1950,MCP29390088,250044207,Montgomery_County_Police,Property Damage Crash,2025-10-01 17:51:00,Maryland_State_Route,RIDGE RD (SB/L),HAWKES RD,Other,Speed Related,Clear,Dry,Daylight,No Control,None Detected,89388E21-A18C-4C73-8BDA-D0DDF3D194C3,MD,C2EE98BF-DD67-4D54-BA23-07286C882130,Twelve O Clock,PickupTruck,MovingConstantSpeed,Southbound,40.0,No,No,2010,NISSAN,39.24682217,-77.23413483,Frontier_Nissan,17,2025,10,1,17,Wednesday,2025-10-01,40
1965,MCP32630059,250044103,Montgomery_County_Police,Property Damage Crash,2025-10-01 10:20:00,Interstate_Route,CAPITAL BELTWAY (WB/L),BURDETTE RD,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,No Control,None Detected,D6D9B9F9-799D-4FD6-8BB9-B41723CE41A7,MD,EBAD3284-B59A-4152-AD45-80FDB3CC6EEC,Six O Clock,PassengerCar,MovingConstantSpeed,East,62.5,No,No,2023,FORD,38.98962783,-77.15721033,Explorer_Ford,10,2025,10,1,10,Wednesday,2025-10-01,40
1986,MCP3317003Y,250044230,Montgomery_County_Police,Property Damage Crash,2025-10-01 19:36:00,Maryland_State_Route,UNIVERSITY BLVD E,MICHAELS DR,Sideswipe (Same Direction),Lane Violation,Clear,Dry,Dark - Lighted,No Control,None Detected,3B46B3D3-9181-4081-BAEA-D390CF9A7804,MD,BD419784-25DF-40F2-AC17-06E5EA2A4581,Four O Clock,SportUtilityVehicle,SlowingOrStopping,Eastbound,35.0,No,No,2014,TOYOTA,39.00012288,-76.99557711,RAV4_Toyota,19,2025,10,1,19,Wednesday,2025-10-01,40
